path,size_bytes,sha256,kind,source,purpose,license_status,candidate_policy
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_4_0.a,251160,b0918694c82bc5cf0800c292bcb85220e1672274463f74ae1d46ca53c841c6a5,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_5_0.a,255592,5172f851db7eecb9f20026edec205d64a4e61676ccdbbccae80fc390026e814c,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_5_1.a,255592,5172f851db7eecb9f20026edec205d64a4e61676ccdbbccae80fc390026e814c,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_5_2.a,255592,1c3db3dcb5a726097ac060481d2c148073cb32c1237e71606b1b69f2096a99f3,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_5_3.a,255484,5b072229001686b95820f4697b44db149e9fd1829474d0fb0967d73f180c08d3,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf5_5_4.a,255456,0dab2acffd0bc40f6d71ad5ebf47b22efdee5439ec40df21b72e59a88fcf4bea,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/components/net_mgmt/lib/libnet_mgmt_esp32s3_idf6_0_0.a,255496,0d9e72a831cf3a5a3d454191f837f9198d290a32b52c5e2038d62b21c6b5c7c3,a,self-developed,network adapter,license-abi-source-form-pending,hold-until-s8
CODE/examples/audio_ofdm_text_demo/main/ofdm_noto_sans_sc_16.bin,1555724,63d06dc31e0385447b74bb445c97d2426affc42c79ceefe070f9d87e6b496400,bin,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/codex_task_notifier_demo/main/notifier_noto_sans_sc_16.bin,1555724,63d06dc31e0385447b74bb445c97d2426affc42c79ceefe070f9d87e6b496400,bin,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame000.rgb565,115200,437225baeb68b031f9f9afe3e9f1078424aaa36dcfa404c79d3f2f817099d2e2,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame001.rgb565,115200,3a5d447c846fb4214ba0de8a0304e5b114921df232428d087ba7acccd5d3962d,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame002.rgb565,115200,2d5abdb9aa0840382426aa22946e027e8411fa104ce4691ca1c24495451c082d,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame003.rgb565,115200,e25b1018a3bacd89f8ac02fbe7b4c27252f52dda5df83d1bae9601dea3af9388,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame004.rgb565,115200,b0df6ea78affbc90697f2fe66a7ec47f172693636f0f41f80df42343339e30ee,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame005.rgb565,115200,d01485ee44e44ae3e604918ac5ca90a95998a0642df28093930334d917627aa9,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame006.rgb565,115200,9793ac30f2b057e9c88ca90e580deff2e2e1fae935f75d6007182374f0f6bd25,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame007.rgb565,115200,8fc67759a2d842ecfadcf7e7261cb7261d8b022fbcc0829fd9018d5055329b70,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame008.rgb565,115200,4a07be462bcf5c6d975f551b275b59f24580a0aa824847a2b0be1f5103953e5b,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame009.rgb565,115200,faf31f6cafa0b580c1cac088545f92a4acf44d408ff6b09d1362475753a3eec1,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame010.rgb565,115200,74fd4efa3f8ceeeffac02122527c2c4cec950ad94075ee5c2535bde9b97db196,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame011.rgb565,115200,35ded01e1755f45577b89d6005c4264087b548818ecc49375f97a6a4cb54f26c,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame012.rgb565,115200,b3fcba0e9264013451ff5023d63f6aecdd032fed299ba6213e253401eb3075fd,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame013.rgb565,115200,2908116a972fc6bb6cee9a9893ca640c34ff66c2356253492a439534e76429d8,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame014.rgb565,115200,89d3c2ded788c10386eedaac9c16d32d10cf05f33d37ffb68315cc9915afc29f,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame015.rgb565,115200,ae26fae57f6638c8f24b95266e43b2050501cd9ea12a91d88338d9aae070742e,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame016.rgb565,115200,0bb0f8b1dad9415219818b469109eb684ea4bf6f836407d6f9ef4bfcdd9dad53,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame017.rgb565,115200,bf62ccc4fec414c185ea0d9ad193b228f8741cad908e9f36cabc3eacbd02ef72,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame018.rgb565,115200,b93efb54bbb80fa9b1db34d1720424ff73a668cfa2e619bf61c1e2a7d50d8c42,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame019.rgb565,115200,029fb7c8eb06881f6f8fa4fd524bef92bdf337841fd997ac144303640c8411fa,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame020.rgb565,115200,3444b2640b708299ac83067bb542708b2ddb4cfeedf5402a4a162fa914a58224,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame021.rgb565,115200,f67883023b87adb436e40a262dff3da3dad2fa09ed3ed9297d3982bc0e6570f7,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame022.rgb565,115200,b069602f262b6c57cd9bbbb8e2c78b9f76ef237e904bdce2cc1efe51e613b7b2,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame023.rgb565,115200,ef6d80977a0852afb090b8997640db065e109d50baa8a6513dec7f92b0fb820f,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame024.rgb565,115200,e8441bbc60f0189ab114c18941e0fc65420d580b7875fc5402418b3adbdcc20c,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame025.rgb565,115200,351436e6b7ce2a60e050c1624cf599d36b02569686301c454202436c9e44bb9e,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame026.rgb565,115200,5e982f0a0e6edaecf3eaa22ee281b3ff87fc11212aae0d523c1c533b7b9b2cfb,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame027.rgb565,115200,08ae6fd59c7066a53874746fc2f648bfa0a39724de7fd80db21f0f36716498ae,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame028.rgb565,115200,ff5dd4f89deff3592d3940cb6898a3f375aff1774da136ec8807f66f5a4cfa4a,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame029.rgb565,115200,86592c298b02fabeb5f4ab15736138c703b757fcaa8641f42ac03ed0fdeb28f7,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame030.rgb565,115200,82025eeac14077d16c0ebe49c70705282c0a767cd53e6b9bc8557e73314e1ac8,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame031.rgb565,115200,7dcec0bf3d3f8d64e76ecf4733b050c4aeb2045d43145472cf7924d16d812462,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame032.rgb565,115200,c3f90959e1de2f292744bad57923d90d7ddf8170e49d335cb69d1026e8632762,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame033.rgb565,115200,0c1f8f02c7ce096878f9b085aee45b7a53245a3693368b0da4df96ccaa4c4c9f,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame034.rgb565,115200,5d2f99d8f39aa8595029d90e0bfb460765d8bdc626bddfb7ba63d43f6399a50e,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame035.rgb565,115200,0979b0cd635cd1c27bd91c10b34f47827605c455335eb245622f55eb44bb2a40,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame036.rgb565,115200,e1271d0a7f9ebd03ebe62f6c58ebccb72429ab764c127f7ed2c490d0d7180a98,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame037.rgb565,115200,6669a5860f962b2b14ed3060aa6a8216e6ab46279f681dae1fc98f708aad27ef,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
CODE/examples/holocubic_demo/assets/animation_frames/frame038.rgb565,115200,9264471d2f2cd98063db612735c584cea1add8fc4f835c8eb20181f6b2479bcc,rgb565,pending-review,inspect owning Example/component,pending,hold-until-s8
